instance_name,time_seconds,objective_value,jain_fairness,num_vehicles,algorithm,instance_size
instance20_nreq100_nveh2_gamma86,0.000127,8966.798352,0.981113,2,random,100
instance2_nreq100_nveh2_gamma92,0.00013,9986.004873,0.99978,2,random,100
instance21_nreq100_nveh2_gamma88,0.000132,9827.054483,0.999136,2,random,100
instance23_nreq100_nveh2_gamma92,0.000129,10033.27381,0.994129,2,random,100
instance16_nreq100_nveh2_gamma90,0.000149,10243.388942,0.988985,2,random,100
instance17_nreq100_nveh2_gamma86,0.000134,9134.032154,0.999431,2,random,100
instance19_nreq100_nveh2_gamma86,0.000188,9618.039788,0.999346,2,random,100
instance3_nreq100_nveh2_gamma93,0.000242,9301.28307,0.970409,2,random,100
instance15_nreq100_nveh2_gamma89,0.000125,9426.424361,0.96715,2,random,100
instance7_nreq100_nveh2_gamma85,0.000158,8941.308508,0.987178,2,random,100
instance8_nreq100_nveh2_gamma86,0.000118,9450.884728,0.980577,2,random,100
instance27_nreq100_nveh2_gamma90,0.000159,9208.008064,0.999867,2,random,100
instance25_nreq100_nveh2_gamma93,0.000128,9929.097135,0.997868,2,random,100
instance29_nreq100_nveh2_gamma92,0.000207,9508.334306,0.991659,2,random,100
instance6_nreq100_nveh2_gamma89,0.000119,9302.625313,0.971223,2,random,100
instance1_nreq100_nveh2_gamma89,0.000125,10025.112153,0.997703,2,random,100
instance9_nreq100_nveh2_gamma91,0.017929,386.001281,0.999973,2,local_search,100
instance26_nreq100_nveh2_gamma89,0.019062,348.432797,0.992623,2,local_search,100
instance14_nreq100_nveh2_gamma94,0.01869,443.494593,0.993797,2,local_search,100
instance4_nreq100_nveh2_gamma93,0.017924,274.427078,0.890454,2,local_search,100
instance12_nreq100_nveh2_gamma91,0.018022,394.784228,0.90819,2,local_search,100
instance22_nreq100_nveh2_gamma89,0.018951,479.254898,0.979005,2,local_search,100
instance11_nreq100_nveh2_gamma88,0.019403,495.008887,0.9998,2,local_search,100
instance18_nreq100_nveh2_gamma87,0.019089,472.076545,0.997832,2,local_search,100
instance10_nreq100_nveh2_gamma98,0.018452,346.364047,0.96773,2,local_search,100
instance28_nreq100_nveh2_gamma93,0.017905,301.079433,0.925227,2,local_search,100
instance5_nreq100_nveh2_gamma88,0.018183,396.46016,0.968,2,local_search,100
instance30_nreq100_nveh2_gamma89,0.01951,460.093334,0.995184,2,local_search,100
instance13_nreq100_nveh2_gamma89,0.018159,379.060316,0.997493,2,local_search,100
instance24_nreq100_nveh2_gamma84,0.019244,459.765655,0.780072,2,local_search,100
instance20_nreq100_nveh2_gamma86,0.018005,343.985708,0.976681,2,local_search,100
instance2_nreq100_nveh2_gamma92,0.01911,480.201939,0.9909,2,local_search,100
instance21_nreq100_nveh2_gamma88,0.018116,491.088525,0.919294,2,local_search,100
instance23_nreq100_nveh2_gamma92,0.018419,458.199256,0.995728,2,local_search,100
instance16_nreq100_nveh2_gamma90,0.018409,438.010299,0.971388,2,local_search,100
instance17_nreq100_nveh2_gamma86,0.018889,526.546646,0.990321,2,local_search,100
instance19_nreq100_nveh2_gamma86,0.018143,432.254601,0.995817,2,local_search,100
instance3_nreq100_nveh2_gamma93,0.018443,320.164753,0.973138,2,local_search,100
instance15_nreq100_nveh2_gamma89,0.018849,397.703947,0.983765,2,local_search,100
instance7_nreq100_nveh2_gamma85,0.018688,324.49031,0.938059,2,local_search,100
instance8_nreq100_nveh2_gamma86,0.018631,377.639187,0.94206,2,local_search,100
instance27_nreq100_nveh2_gamma90,0.018615,484.359172,0.977667,2,local_search,100
instance25_nreq100_nveh2_gamma93,0.019503,423.430963,0.968585,2,local_search,100
instance29_nreq100_nveh2_gamma92,0.019196,496.210033,0.99476,2,local_search,100
instance6_nreq100_nveh2_gamma89,0.018871,349.296962,0.923921,2,local_search,100
instance1_nreq100_nveh2_gamma89,0.018259,412.414976,0.971022,2,local_search,100
instance9_nreq100_nveh2_gamma91,0.136987,10044.865,0.5,2,simulated_annealing,100
instance26_nreq100_nveh2_gamma89,0.170162,10109.335,0.5,2,simulated_annealing,100
instance14_nreq100_nveh2_gamma94,0.141472,9919.865,0.5,2,simulated_annealing,100
instance4_nreq100_nveh2_gamma93,0.170414,9994.335,0.5,2,simulated_annealing,100
instance12_nreq100_nveh2_gamma91,0.14292,10297.055,0.5,2,simulated_annealing,100
instance22_nreq100_nveh2_gamma89,0.145015,10044.885,0.5,2,simulated_annealing,100
instance11_nreq100_nveh2_gamma88,0.123767,9377.225,0.5,2,simulated_annealing,100
instance18_nreq100_nveh2_gamma87,0.128545,9316.655,0.5,2,simulated_annealing,100
instance10_nreq100_nveh2_gamma98,0.1414,10307.135,0.5,2,simulated_annealing,100
instance28_nreq100_nveh2_gamma93,0.141839,9511.905,0.5,2,simulated_annealing,100
instance5_nreq100_nveh2_gamma88,0.128799,9522.19,0.5,2,simulated_annealing,100
instance30_nreq100_nveh2_gamma89,0.140555,9270.69,0.5,2,simulated_annealing,100
instance13_nreq100_nveh2_gamma89,0.131772,9757.03,0.5,2,simulated_annealing,100
instance24_nreq100_nveh2_gamma84,0.121637,8894.655,0.5,2,simulated_annealing,100
instance20_nreq100_nveh2_gamma86,0.125474,9018.135,0.5,2,simulated_annealing,100
instance2_nreq100_nveh2_gamma92,0.154454,9932.095,0.5,2,simulated_annealing,100
instance21_nreq100_nveh2_gamma88,0.128875,9695.525,0.5,2,simulated_annealing,100
instance23_nreq100_nveh2_gamma92,0.128753,9697.32,0.5,2,simulated_annealing,100
instance16_nreq100_nveh2_gamma90,0.129748,9945.655,0.5,2,simulated_annealing,100
instance17_nreq100_nveh2_gamma86,0.128604,9190.24,0.5,2,simulated_annealing,100
instance19_nreq100_nveh2_gamma86,0.130417,9331.43,0.5,2,simulated_annealing,100
instance3_nreq100_nveh2_gamma93,0.146397,9752.68,0.5,2,simulated_annealing,100
instance15_nreq100_nveh2_gamma89,0.124828,9185.68,0.5,2,simulated_annealing,100
instance7_nreq100_nveh2_gamma85,0.142067,8340.03,0.5,2,simulated_annealing,100
instance8_nreq100_nveh2_gamma86,0.131953,9449.775,0.5,2,simulated_annealing,100
instance27_nreq100_nveh2_gamma90,0.138189,9584.43,0.5,2,simulated_annealing,100
instance25_nreq100_nveh2_gamma93,0.139657,10144.775,0.5,2,simulated_annealing,100
instance29_nreq100_nveh2_gamma92,0.143302,9674.04,0.5,2,simulated_annealing,100
instance6_nreq100_nveh2_gamma89,0.126382,9382.24,0.5,2,simulated_annealing,100
instance1_nreq100_nveh2_gamma89,0.166673,10244.415,0.5,2,simulated_annealing,100
instance18_nreq200_nveh4_gamma187,0.011666,29183.228443,0.998151,4,deterministic,200
instance1_nreq200_nveh4_gamma177,0.011463,25728.613892,0.996546,4,deterministic,200
instance24_nreq200_nveh4_gamma180,0.011777,27283.105856,0.997,4,deterministic,200
instance16_nreq200_nveh4_gamma188,0.01152,26243.136775,0.996509,4,deterministic,200
instance20_nreq200_nveh4_gamma183,0.012098,27512.731321,0.996544,4,deterministic,200
instance22_nreq200_nveh4_gamma180,0.01127,26335.503639,0.998766,4,deterministic,200
instance11_nreq200_nveh4_gamma182,0.011867,27282.96954,0.996604,4,deterministic,200
instance25_nreq200_nveh4_gamma172,0.011662,24585.081996,0.999731,4,deterministic,200
instance26_nreq200_nveh4_gamma175,0.011573,25779.550564,0.993305,4,deterministic,200
instance23_nreq200_nveh4_gamma172,0.011568,25013.797687,0.997879,4,deterministic,200
instance12_nreq200_nveh4_gamma188,0.011923,26824.815488,0.998131,4,deterministic,200
instance19_nreq200_nveh4_gamma195,0.011988,28715.418923,0.99648,4,deterministic,200
instance8_nreq200_nveh4_gamma182,0.012257,27396.664395,0.995145,4,deterministic,200
instance2_nreq200_nveh4_gamma172,0.011958,26264.192372,0.992008,4,deterministic,200
instance17_nreq200_nveh4_gamma185,0.011442,26628.710045,0.998359,4,deterministic,200
instance9_nreq200_nveh4_gamma182,0.012178,26998.032314,0.993711,4,deterministic,200
instance6_nreq200_nveh4_gamma178,0.011499,26616.936111,0.997001,4,deterministic,200
instance15_nreq200_nveh4_gamma182,0.011692,26761.544279,0.99122,4,deterministic,200
instance21_nreq200_nveh4_gamma180,0.011474,27407.288847,0.995286,4,deterministic,200
instance27_nreq200_nveh4_gamma173,0.012092,26012.519084,0.998441,4,deterministic,200
instance14_nreq200_nveh4_gamma181,0.011686,25407.487618,0.995022,4,deterministic,200
instance4_nreq200_nveh4_gamma187,0.011907,28225.867223,0.996936,4,deterministic,200
